Year;"SH4 Code";"SH4 Description";"Net Weight"
2016;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";146395224
2015;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";82843683
2014;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";14118023
2013;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";13862003
2012;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";13605390
2011;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";13088103
2010;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";13487247
2009;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";52999034
2008;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";37976744
2007;3904;"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";59786740
